date,index,expiry_tag,offset,horizon,window,k,mode,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_total_windows,ann_shortlisted,ann_prune_ratio,ann_build_ms,ann_index_mem_bytes
2025-10-24,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,+50,60,60,15,auto,365,3,0.00821917808219178,3.007848718484327,24,20,0.8333333333333334,1,5760
2025-10-01,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,+50,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,+50,60,60,15,auto,4,3,0.75,0.0,0,24,,0,5760
